ticker,name,sector,board
BAYU,Bayu Buana Tbk,Barang Konsumen Non-Primer,Main
BBCA,Bank Central Asia Tbk.,Keuangan,Main
BBHI,Allo Bank Indonesia Tbk.,Keuangan,Main
BBKP,Bank KB Indonesia Tbk.,Keuangan,Development
BBLD,Buana Finance Tbk.,Keuangan,Development
BBMD,Bank Mestika Dharma Tbk.,Keuangan,Main
BBNI,Bank Negara Indonesia (Persero,Keuangan,Main
BBRI,Bank Rakyat Indonesia (Persero,Keuangan,Main
BBRM,Pelayaran Nasional Bina Buana,Energi,Development
BBSI,Krom Bank Indonesia Tbk.,Keuangan,Main
BBSS,Bumi Benowo Sukses Sejahtera T,Properti & Real Estat,Development
BBTN,Bank Tabungan Negara (Persero),Keuangan,Main
BBYB,Bank Neo Commerce Tbk.,Keuangan,Main
BCAP,MNC Kapital Indonesia Tbk.,Keuangan,Main
BCIC,Bank JTrust Indonesia Tbk.,Keuangan,Development
BCIP,Bumi Citra Permai Tbk.,Properti & Real Estat,Development
BDKR,Berdikari Pondasi Perkasa Tbk.,Infrastruktur,Main
BDMN,Bank Danamon Indonesia Tbk.,Keuangan,Main
BEBS,Berkah Beton Sadaya Tbk.,Barang Baku,Watchlist
BEEF,Estika Tata Tiara Tbk.,Barang Konsumen Primer,Development
BEER,Jobubu Jarum Minahasa Tbk.,Barang Konsumen Primer,Development
BEKS,Bank Pembangunan Daerah Banten,Keuangan,Watchlist
BELI,Global Digital Niaga Tbk.,Teknologi,Development
BELL,Trisula Textile Industries Tbk,Barang Konsumen Non-Primer,Development
BESS,Batulicin Nusantara Maritim Tb,Energi,Development
BEST,Bekasi Fajar Industrial Estate,Properti & Real Estat,Main
BFIN,BFI Finance  Indonesia Tbk.,Keuangan,Main
BGTG,Bank Ganesha Tbk.,Keuangan,Main
BHAT,Bhakti Multi Artha Tbk.,Keuangan,Development
BHIT,MNC Asia Holding Tbk.,Perindustrian,Watchlist
BIKA,Binakarya Jaya Abadi Tbk.,Properti & Real Estat,Watchlist
BIKE,Sepeda Bersama Indonesia Tbk.,Barang Konsumen Non-Primer,Development
BIMA,Primarindo Asia Infrastructure,Barang Konsumen Non-Primer,Watchlist
BINA,Bank Ina Perdana Tbk.,Keuangan,Main
BINO,Perma Plasindo Tbk.,Perindustrian,Development
BIPI,Astrindo Nusantara Infrastrukt,Energi,Development
BIPP,Bhuwanatala Indah Permai Tbk.,Properti & Real Estat,Development
BIRD,Blue Bird Tbk.,Transportasi & Logistik,Main
BISI,BISI International Tbk.,Barang Konsumen Primer,Main
BJBR,Bank Pembangunan Daerah Jawa B,Keuangan,Main
BJTM,Bank Pembangunan Daerah Jawa T,Keuangan,Main
BKDP,Bukit Darmo Property Tbk,Properti & Real Estat,Development
BKSL,Sentul City Tbk.,Properti & Real Estat,Main
BKSW,Bank QNB Indonesia Tbk.,Keuangan,Development
BLES,Superior Prima Sukses Tbk.,Barang Baku,Development
BLOG,Trimitra Trans Persada Tbk.,Transportasi & Logistik,Main
BLTA,Berlian Laju Tanker Tbk,Transportasi & Logistik,Watchlist
BLTZ,Graha Layar Prima Tbk.,Barang Konsumen Non-Primer,Watchlist
BLUE,Berkah Prima Perkasa Tbk.,Perindustrian,Development
BMAS,Bank Kasikorn Indonesia Tbk.,Keuangan,Development
BMBL,Lavender Bina Cendikia Tbk.,Barang Konsumen Non-Primer,Acceleration
BMHS,Bundamedik Tbk.,Kesehatan,Main
BMRI,Bank Mandiri (Persero) Tbk.,Keuangan,Main
BMSR,Bintang Mitra Semestaraya Tbk,Barang Baku,Development
BMTR,Global Mediacom Tbk.,Barang Konsumen Non-Primer,Main
BNBA,Bank Bumi Arta Tbk.,Keuangan,Development
BNBR,Bakrie & Brothers Tbk,Perindustrian,Development
BNGA,Bank CIMB Niaga Tbk.,Keuangan,Main
BNII,Bank Maybank Indonesia Tbk.,Keuangan,Main
BNLI,Bank Permata Tbk.,Keuangan,Main
BOAT,Newport Marine Services Tbk.,Energi,Development
BOBA,Formosa Ingredient Factory Tbk,Barang Konsumen Primer,Development
BOGA,Apollo Global Interactive Tbk.,Barang Konsumen Non-Primer,Development
BOLA,Bali Bintang Sejahtera Tbk.,Barang Konsumen Non-Primer,Main
BOLT,Garuda Metalindo Tbk.,Barang Konsumen Non-Primer,Development
BOSS,Borneo Olah Sarana Sukses Tbk.,Energi,Watchlist
BPFI,Woori Finance Indonesia Tbk.,Keuangan,Development
BPII,Batavia Prosperindo Internasio,Keuangan,Development
BPTR,Batavia Prosperindo Trans Tbk.,Transportasi & Logistik,Development
BRAM,Indo Kordsa Tbk.,Barang Konsumen Non-Primer,Development
BREN,Barito Renewables Energy Tbk.,Infrastruktur,Main
BRIS,Bank Syariah Indonesia (Perser,Keuangan,Main
BRMS,Bumi Resources Minerals Tbk.,Barang Baku,Main
BRNA,Berlina Tbk.,Barang Baku,Development
BRPT,Barito Pacific Tbk.,Barang Baku,Main
BRRC,Raja Roti Cemerlang Tbk.,Barang Konsumen Primer,Development
BSBK,Wulandari Bangun Laksana Tbk.,Properti & Real Estat,Development
BSDE,Bumi Serpong Damai Tbk.,Properti & Real Estat,Main
BSIM,Bank Sinarmas Tbk.,Keuangan,Main
BSML,Bintang Samudera Mandiri Lines,Energi,Development
BSSR,Baramulti Suksessarana Tbk.,Energi,Main
BSWD,Bank Of India Indonesia Tbk.,Keuangan,Watchlist
BTEK,Bumi Teknokultura Unggul Tbk,Barang Konsumen Primer,Watchlist
BTEL,Bakrie Telecom Tbk.,Infrastruktur,Watchlist
BTON,Betonjaya Manunggal Tbk.,Barang Baku,Development
BTPN,Bank SMBC Indonesia Tbk.,Keuangan,Main
BTPS,Bank BTPN Syariah Tbk.,Keuangan,Main
BUAH,Segar Kumala Indonesia Tbk.,Barang Konsumen Primer,Development
BUDI,Budi Starch & Sweetener Tbk.,Barang Konsumen Primer,Main
BUKA,Bukalapak.com Tbk.,Teknologi,Ekonomi Baru
BUKK,Bukaka Teknik Utama Tbk.,Infrastruktur,Development
BULL,Buana Lintas Lautan Tbk.,Energi,Development
BUMI,Bumi Resources Tbk.,Energi,Main
BUVA,Bukit Uluwatu Villa Tbk.,Barang Konsumen Non-Primer,Development
BVIC,Bank Victoria International Tb,Keuangan,Main
BWPT,Eagle High Plantations Tbk.,Barang Konsumen Primer,Main
BYAN,Bayan Resources Tbk.,Energi,Main
CAKK,Cahayaputra Asa Keramik Tbk.,Perindustrian,Development
CAMP,Campina Ice Cream Industry Tbk,Barang Konsumen Primer,Development
CANI,Capitol Nusantara Indonesia Tb,Energi,Watchlist
CARE,Metro Healthcare Indonesia Tbk,Kesehatan,Development
CARS,Industri dan Perdagangan Bintr,Barang Konsumen Non-Primer,Main
CASA,Capital Financial Indonesia Tb,Keuangan,Development
CASH,Cashlez Worldwide Indonesia Tb,Teknologi,Acceleration
CASS,Cahaya Aero Services Tbk.,Infrastruktur,Main
CBDK,Bangun Kosambi Sukses Tbk.,Properti & Real Estat,Main
CBMF,Cahaya Bintang Medan Tbk.,Barang Konsumen Non-Primer,Watchlist
CBPE,Citra Buana Prasida Tbk.,Properti & Real Estat,Development
CBRE,Cakra Buana Resources Energi T,Energi,Development
CBUT,Citra Borneo Utama Tbk.,Barang Konsumen Primer,Main
CCSI,Communication Cable Systems In,Perindustrian,Development
CDIA,Chandra Daya Investasi Tbk.,Infrastruktur,Development
CEKA,Wilmar Cahaya Indonesia Tbk.,Barang Konsumen Primer,Development
CENT,Centratama Telekomunikasi Indo,Infrastruktur,Development
CFIN,Clipan Finance Indonesia Tbk.,Keuangan,Main
CGAS,Citra Nusantara Gemilang Tbk.,Energi,Development
CHEK,Diastika Biotekindo Tbk.,Kesehatan,Development
CHEM,Chemstar Indonesia Tbk.,Barang Baku,Development
CHIP,Pelita Teknologi Global Tbk.,Teknologi,Acceleration
CINT,Chitose Internasional Tbk.,Barang Konsumen Non-Primer,Development
CITA,Cita Mineral Investindo Tbk.,Barang Baku,Main
CITY,Natura City Developments Tbk.,Properti & Real Estat,Development
CLAY,Citra Putra Realty Tbk.,Barang Konsumen Non-Primer,Development
CLEO,Sariguna Primatirta Tbk.,Barang Konsumen Primer,Main
CLPI,Colorpak Indonesia Tbk.,Barang Baku,Development
CMNP,Citra Marga Nusaphala Persada,Infrastruktur,Main
CMNT,Cemindo Gemilang Tbk.,Barang Baku,Development
CMPP,AirAsia Indonesia Tbk.,Transportasi & Logistik,Watchlist
CMRY,Cisarua Mountain Dairy Tbk.,Barang Konsumen Primer,Main
CNKO,Exploitasi Energi Indonesia Tb,Energi,Watchlist
CNMA,Nusantara Sejahtera Raya Tbk.,Barang Konsumen Non-Primer,Development
CNTX,Century Textile Industry Tbk.,Barang Konsumen Non-Primer,Watchlist
COAL,Black Diamond Resources Tbk.,Energi,Development
COCO,Wahana Interfood Nusantara Tbk,Barang Konsumen Primer,Development
COIN,Indokripto Koin Semesta Tbk.,Keuangan,Development
COWL,Cowell Development Tbk.,Properti & Real Estat,Watchlist
CPIN,Charoen Pokphand Indonesia Tbk,Barang Konsumen Primer,Main
CPRI,Capri Nusa Satu Properti Tbk.,Properti & Real Estat,Watchlist
CPRO,Central Proteina Prima Tbk.,Barang Konsumen Primer,Development
CRAB,Toba Surimi Industries Tbk.,Barang Konsumen Primer,Development
CRSN,Carsurin Tbk.,Perindustrian,Development
CSAP,Catur Sentosa Adiprana Tbk.,Barang Konsumen Non-Primer,Development
CSIS,Cahayasakti Investindo Sukses,Properti & Real Estat,Development
CSMI,Cipta Selera Murni Tbk.,Barang Konsumen Non-Primer,Development
CSRA,Cisadane Sawit Raya Tbk.,Barang Konsumen Primer,Development
CTBN,Citra Tubindo Tbk.,Barang Baku,Development
CTRA,Ciputra Development Tbk.,Properti & Real Estat,Main
CTTH,Citatah Tbk.,Perindustrian,Development
CUAN,Petrindo Jaya Kreasi Tbk.,Energi,Main
CYBR,ITSEC Asia Tbk.,Teknologi,Development
DAAZ,Daaz Bara Lestari Tbk.,Barang Baku,Main
DADA,Diamond Citra Propertindo Tbk.,Properti & Real Estat,Development
DART,Duta Anggada Realty Tbk.,Properti & Real Estat,Development
DATA,Remala Abadi Tbk.,Infrastruktur,Development
DAYA,Duta Intidaya Tbk.,Barang Konsumen Primer,Development
DCII,DCI Indonesia Tbk.,Teknologi,Development
DEAL,Dewata Freightinternational Tb,Transportasi & Logistik,Watchlist
DEFI,Danasupra Erapacific Tbk.,Keuangan,Development
DEPO,Caturkarda Depo Bangunan Tbk.,Barang Konsumen Non-Primer,Development
DEWA,Darma Henwa Tbk,Energi,Main
DEWI,Dewi Shri Farmindo Tbk.,Barang Konsumen Primer,Development
DFAM,Dafam Property Indonesia Tbk.,Barang Konsumen Non-Primer,Development
DGIK,Nusa Konstruksi Enjiniring Tbk,Infrastruktur,Development
DGNS,Diagnos Laboratorium Utama Tbk,Kesehatan,Development
DGWG,Delta Giri Wacana Tbk.,Barang Baku,Main
DIGI,Arkadia Digital Media Tbk.,Barang Konsumen Non-Primer,Watchlist
DILD,Intiland Development Tbk.,Properti & Real Estat,Main
DIVA,Distribusi Voucher Nusantara T,Teknologi,Development
DKFT,Central Omega Resources Tbk.,Barang Baku,Main
DKHH,Cipta Sarana Medika Tbk.,Kesehatan,Development
DLTA,Delta Djakarta Tbk.,Barang Konsumen Primer,Main
DMAS,Puradelta Lestari Tbk.,Properti & Real Estat,Main
DMMX,Digital Mediatama Maxima Tbk.,Teknologi,Development
DMND,Diamond Food Indonesia Tbk.,Barang Konsumen Primer,Main
DNAR,Bank Oke Indonesia Tbk.,Keuangan,Development
DNET,Indoritel Makmur Internasional,Keuangan,Main
DOID,BUMA Internasional Grup Tbk.,Energi,Development
DOOH,Era Media Sejahtera Tbk.,Barang Konsumen Non-Primer,Development
DOSS,Global Sukses Digital Tbk.,Barang Konsumen Non-Primer,Development
DPNS,Duta Pertiwi Nusantara Tbk.,Barang Baku,Development
DPUM,Dua Putra Utama Makmur Tbk.,Barang Konsumen Primer,Development
DRMA,Dharma Polimetal Tbk.,Barang Konsumen Non-Primer,Main
DSFI,Dharma Samudera Fishing Indust,Barang Konsumen Primer,Development
DSNG,Dharma Satya Nusantara Tbk.,Barang Konsumen Primer,Main
DSSA,Dian Swastatika Sentosa Tbk,Energi,Main
DUCK,Jaya Bersama Indo Tbk.,Barang Konsumen Non-Primer,Watchlist
DUTI,Duta Pertiwi Tbk,Properti & Real Estat,Watchlist
DVLA,Darya-Varia Laboratoria Tbk.,Kesehatan,Development
DWGL,Dwi Guna Laksana Tbk.,Energi,Development
DYAN,Dyandra Media International Tb,Perindustrian,Development
EAST,Eastparc Hotel Tbk.,Barang Konsumen Non-Primer,Development
ECII,Electronic City Indonesia Tbk.,Barang Konsumen Non-Primer,Development
EDGE,Indointernet Tbk.,Teknologi,Development
EKAD,Ekadharma International Tbk.,Barang Baku,Development
ELIT,Data Sinergitama Jaya Tbk.,Teknologi,Development
ELPI,Pelayaran Nasional Ekalya Purn,Transportasi & Logistik,Main
ELSA,Elnusa Tbk.,Energi,Main
ELTY,Bakrieland Development Tbk.,Properti & Real Estat,Watchlist
EMAS,Merdeka Gold Resources Tbk.,Barang Baku,Development
EMDE,Megapolitan Developments Tbk.,Properti & Real Estat,Development
EMMI,Esa Medika Mandiri Tbk.,Kesehatan,Development
EMTK,Elang Mahkota Teknologi Tbk.,Teknologi,Main
ENAK,Champ Resto Indonesia Tbk.,Barang Konsumen Non-Primer,Development
ENRG,Energi Mega Persada Tbk.,Energi,Main
ENVY,Envy Technologies Indonesia Tb,Teknologi,Watchlist
ENZO,Morenzo Abadi Perkasa Tbk.,Barang Konsumen Primer,Development
EPAC,Megalestari Epack Sentosaraya,Barang Baku,Development
EPMT,Enseval Putera Megatrading Tbk,Barang Konsumen Primer,Main
ERAA,Erajaya Swasembada Tbk.,Barang Konsumen Non-Primer,Main
ERAL,Sinar Eka Selaras Tbk.,Barang Konsumen Non-Primer,Main
ERTX,Eratex Djaja Tbk.,Barang Konsumen Non-Primer,Development
ESIP,Sinergi Inti Plastindo Tbk.,Barang Baku,Development
ESSA,ESSA Industries Indonesia Tbk.,Barang Baku,Main
ESTA,Esta Multi Usaha Tbk.,Barang Konsumen Non-Primer,Development
ESTI,Ever Shine Tex Tbk.,Barang Konsumen Non-Primer,Main
ETWA,Eterindo Wahanatama Tbk,Barang Baku,Watchlist
EURO,Estee Gold Feet Tbk.,Barang Konsumen Primer,Acceleration
EXCL,XLSMART Telecom Sejahtera Tbk.,Infrastruktur,Main
FAPA,FAP Agri Tbk.,Barang Konsumen Primer,Development
FAST,Fast Food Indonesia Tbk.,Barang Konsumen Non-Primer,Development
FASW,Fajar Surya Wisesa Tbk.,Barang Baku,Watchlist
FILM,MD Entertainment Tbk.,Barang Konsumen Non-Primer,Main
FIMP,Fimperkasa Utama Tbk.,Infrastruktur,Watchlist
FIRE,Alfa Energi Investama Tbk.,Energi,Development
FISH,FKS Multi Agro Tbk.,Barang Konsumen Primer,Main
FITT,Hotel Fitra International Tbk.,Barang Konsumen Non-Primer,Development
FLMC,Falmaco Nonwoven Industri Tbk.,Barang Konsumen Primer,Watchlist
FMII,Fortune Mate Indonesia Tbk,Properti & Real Estat,Development
FOLK,Multi Garam Utama Tbk.,Perindustrian,Development
FOOD,Sentra Food Indonesia Tbk.,Barang Konsumen Primer,Watchlist
FORE,Fore Kopi Indonesia Tbk.,Barang Konsumen Primer,Development
FORU,Fortune Indonesia Tbk,Barang Konsumen Non-Primer,Development
FPNI,Lotte Chemical Titan Tbk.,Barang Baku,Development
FUJI,Fuji Finance Indonesia Tbk.,Keuangan,Development
